"","x"
"1",0.418691211240987
"2",0.507255153998342
"3",0.363860329979318
"4",0.426211349919546
"5",0.472109845466059
"6",0.823940129214402
"7",0.683671184739682
"8",0.732178712707532
"9",0.484119085913296
"10",0.414728211304556
"11",0.600447183780943
"12",0.503647369876195
"13",0.470784026381466
"14",0.474137314829679
"15",0.521232285912502
"16",0.554899957703067
"17",0.579098850992633
"18",0.769782155331915
"19",0.727955572008226
"20",0.490817950730654
"21",0.254653013612741
"22",0.498184902907451
"23",0.0593992702396823
"24",0.713309637825883
"25",0.398292659574781
"26",0.403611658592346
"27",0.457431744318176
"28",1.10931185051003
"29",0.41888018730407
"30",0.948844991260988
"31",0.476317874186075
"32",0.517660858372432
"33",0.779929630958219
"34",0.29612156022871
"35",0.293810378794652
"36",0.673372219197389
"37",0.67309077240281
"38",0.337759793504601
"39",0.431788832152064
"40",0.519260641152598
"41",0.488544270796193
"42",0.446529470773404
"43",0.750465677550906
"44",0.792323881272367
"45",0.0463749875708268
"46",0.250129609105358
"47",0.922866460225943
"48",0.419730201126955
"49",0.748811365633053
"50",0.504476220278299
"51",1.53314341757364
"52",1.4364414669845
"53",1.98049003685689
"54",1.33983667543337
"55",2.3553483918104
"56",1.08800553125696
"57",2.02250613692984
"58",1.98107069275489
"59",1.43111408001793
"60",2.0170146610353
"61",2.3159350761412
"62",1.46545679039028
"63",0.991205460161405
"64",1.21876240609137
"65",1.86604300868636
"66",1.80025397459275
"67",1.06452645360759
"68",2.62883573010768
"69",1.67421283775356
"70",2.12851173050273
"71",2.55691588436326
"72",1.65960665723111
"73",1.75610094853479
"74",2.58390512537762
"75",2.28891515421833
"76",2.41277325808862
"77",1.58585104993056
"78",2.00702895245315
"79",1.60823922475123
"80",1.82431635959981
"81",1.69246363579434
"82",2.44610192208308
"83",1.46639206352003
"84",2.31110758808753
"85",1.37839302509935
"86",1.40371383453577
"87",1.5031049076336
"88",1.77141631545956
"89",1.48589124657818
"90",2.24151277978942
"91",1.32358854019346
"92",1.3883926330363
"93",1.22609981600157
"94",1.44316697475333
"95",0.886049958997076
"96",1.20051368230373
"97",1.80388905501122
"98",1.49773000606537
"99",1.81641097048044
"100",0.932987186751098
