"","x"
"1",1.1980365201544
"2",0.968890581944504
"3",1.08433597012467
"4",0.823433307080801
"5",0.888810939741963
"6",1.08863361006726
"7",0.798169618689724
"8",1.1485127878756
"9",1.58334030560261
"10",0.828914340302237
"11",1.20214747299779
"12",1.17751153088347
"13",1.65028983132503
"14",1.2709642295267
"15",1.32403118912814
"16",1.07285442584122
"17",1.49536666194881
"18",1.05154669137542
"19",1.33282628065885
"20",0.97877711567201
"21",1.1253621561371
"22",0.809328600840284
"23",1.41398963317015
"24",1.05998832566852
"25",1.36526746903998
"26",0.871534219159974
"27",0.979997255626766
"28",1.30643165542395
"29",1.25513445409507
"30",1.31128423751726
"31",1.23320912939466
"32",1.13939915593233
"33",0.939887395533942
"34",1.05346862072495
"35",1.28010336184758
"36",0.923095633553991
"37",1.1602547362017
"38",0.895781744532379
"39",0.832309644951957
"40",1.26117364383457
"41",1.20762306874965
"42",1.19062879976692
"43",1.11983884820477
"44",0.981737835878031
"45",1.00187089660212
"46",0.79636841539746
"47",0.987215047893616
"48",0.960143351527289
"49",1.08782383972805
"50",0.83102810511894
"51",1.01421331873644
"52",0.936579651426065
"53",0.962502745397802
"54",1.00244789042177
"55",1.40377065473088
"56",1.08168108720746
"57",0.915894883146536
"58",1.08509403833312
"59",1.46921379503667
"60",1.18414389373097
"61",1.09897619135206
"62",0.964649699119464
"63",1.13150181593363
"64",0.873215108818383
"65",0.807688996167932
"66",1.3185929393355
"67",1.10777311450053
"68",1.20276554147635
"69",1.19210335749281
"70",0.810617898789323
"71",0.935254389279179
"72",1.34627384230637
"73",1.10070569556259
"74",1.08061621163229
"75",0.836482470730722
"76",1.16251236064108
"77",1.15015209947502
"78",1.28312862769921
"79",0.925695181318239
"80",0.860617819362309
"81",1.05495515579677
"82",1.10231155755356
"83",0.978382507474593
"84",0.945803040107639
"85",1.32411304027643
"86",1.08377072284625
"87",1.33030258592435
"88",0.940941132771806
"89",1.19246472940121
"90",1.08296670468257
"91",1.43648149775206
"92",1.08365423336898
"93",0.827235390813784
"94",1.06856058189186
"95",1.21033688926546
"96",0.995494246795607
"97",1.16882970431437
"98",1.37728144210012
"99",1.03706836766971
"100",1.11033064287598
